Suburb,Address,PropertyType,Bedrooms,Bathrooms,CarSpaces,LandSize_m2,SaleDate,SoldPrice_AUD,SourceURL
Burwood,"9 Sparks Avenue, Burwood, Vic 3125",House,5,2,2,558,2025-08-16,"$1,350,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148573776
Burwood,"16 Wattlebird Court, Burwood, Vic 3125",House,5,2,2,483,2025-08-23,"$2,288,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148616072
Burwood,"12 Andrews Street, Burwood, Vic 3125",House,5,2,2,682,2025-09-03,"$1,400,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148683668
Burwood,"14 Puerta Street, Burwood, Vic 3125",House,4,1,3,657,2025-09-11,"$1,500,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148736712
Burwood,"26 Loudon Road, Burwood, Vic 3125",House,3,2,2,651,2025-09-13,"$1,625,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148749480
Burwood,"1 Maiden Court, Burwood, Vic 3125",House,5,2,2,663,2025-09-13,"$1,692,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148841512
Burwood,"14 Sanglen Terrace, Burwood, Vic 3125",House,6,4,6,866,2025-09-17,"$2,420,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148755616
Burwood,"77/390 Burwood Highway, Burwood, Vic 3125",House,3,2,2,170,2025-09-20,"$990,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-148772376
Burwood,"195 Highbury Road, Burwood, Vic 3125",House,3,3,2,1032,2025-02-24,"$2,005,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-145702452
Burwood,"14 The Ridge, Burwood, Vic 3125",House,5,3,2,560,2025-02-22,"$1,652,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-145593284
Burwood,"1 Maiden Court, Burwood, Vic 3125",House,5,2,2,601,2025-02-15,"$1,692,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-145690956
Burwood,"67C Summerhill Road, Glen Iris, Vic 3146",House,4,3,2,655,2025-02-22,"$1,880,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-144717208
Burwood,"47 Brockhoff Drive, Burwood, Vic 3125",House,4,2,2,550,2025-02-15,"$1,670,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146986164
Burwood,"14 The Ridge, Burwood, Vic 3125",House,5,3,2,560,2025-02-22,"$1,652,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-147040824
Burwood,"2 Acacia Place, Burwood, Vic 3125",House,3,2,2,416,2025-02-10,"$1,750,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146310788
Burwood,"19 Bronte Avenue, Burwood, Vic 3125",House,1,1,0,770,2025-02-08,"$1,341,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146959184
Burwood,"19 College Way, Burwood, Vic 3125",House,3,2,2,300,2025-01-30,"$1,092,500.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146114528
Burwood,"78 Parer Street, Burwood, Vic 3125",House,3,1,2,364,2025-01-07,"$1,070,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146792316
Burwood,"9 Iris Street, Burwood, Vic 3125",House,3,1,2,665.6,2024-12-17,"$1,580,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146697480
